date,timestamp,period,period_type,count,year,month,day,season,is_weekend,houston_iqr_anomaly_mean,dallas_wind_speed_imputed_mean,houston_pressure_original_mean,nyc_temperature_mean,dallas_wind_speed_mean,la_precipitation_mean,philadelphia_wind_speed_iqr_anomaly_mean,dallas_precipitation_mean,houston_temperature_imputed_mean,philadelphia_humidity_imputed_mean,houston_zscore_anomaly_mean,la_precipitation_iqr_anomaly_mean,phoenix_humidity_iqr_anomaly_mean,phoenix_precipitation_original_mean,philadelphia_precipitation_iqr_anomaly_mean,phoenix_humidity_imputed_mean,dallas_precipitation_zscore_anomaly_mean,nyc_wind_speed_zscore_anomaly_mean,dallas_precipitation_imputed_mean,phoenix_humidity_mean,nyc_wind_speed_imputed_mean,phoenix_temperature_mean,nyc_temperature_imputed_mean,la_wind_speed_imputed_mean,la_precipitation_imputed_mean,houston_humidity_mean,houston_pressure_iqr_anomaly_mean,houston_humidity_iqr_anomaly_mean,nyc_precipitation_original_mean,dallas_zscore_anomaly_mean,seattle_pressure_zscore_anomaly_mean,la_temperature_original_mean,la_wind_speed_zscore_anomaly_mean,seattle_pressure_original_mean,houston_precipitation_mean,dallas_pressure_mean,houston_precipitation_iqr_anomaly_mean,houston_humidity_imputed_mean,houston_humidity_original_mean,la_pressure_original_mean,houston_original_mean,seattle_temperature_imputed_mean,san antonio_iqr_anomaly_mean,seattle_pressure_iqr_anomaly_mean,dallas_original_mean,dallas_pressure_imputed_mean,seattle_precipitation_zscore_anomaly_mean,seattle_precipitation_mean,houston_wind_speed_original_mean,houston_wind_speed_imputed_mean,houston_precipitation_imputed_mean,phoenix_wind_speed_imputed_mean,philadelphia_pressure_mean,philadelphia_humidity_original_mean,philadelphia_humidity_mean,la_pressure_mean,nyc_precipitation_mean,la_humidity_original_mean,phoenix_temperature_original_mean,phoenix_pressure_original_mean,phoenix_temperature_imputed_mean,dallas_wind_speed_original_mean,la_wind_speed_mean,san antonio_original_mean,philadelphia_pressure_imputed_mean,dallas_mean,houston_pressure_mean,nyc_pressure_imputed_mean,seattle_humidity_zscore_anomaly_mean,la_precipitation_zscore_anomaly_mean,seattle_temperature_original_mean,dallas_imputed_mean,philadelphia_temperature_mean,seattle_temperature_iqr_anomaly_mean,seattle_temperature_mean,nyc_humidity_mean,houston_precipitation_original_mean,nyc_wind_speed_iqr_anomaly_mean,dallas_humidity_imputed_mean,dallas_humidity_mean,philadelphia_pressure_iqr_anomaly_mean,la_pressure_zscore_anomaly_mean,philadelphia_wind_speed_zscore_anomaly_mean,seattle_wind_speed_mean,seattle_pressure_imputed_mean,houston_temperature_original_mean,dallas_wind_speed_zscore_anomaly_mean,dallas_temperature_mean,nyc_wind_speed_original_mean,san antonio_imputed_mean
,,2019-07-14,day,4,2019,7,14,Summer,1,,,1009.325,1.6343286619479283,,-0.21385307745839088,,,84.98750000000001,63.5,,,,,,,,,,,,,,2.305,0.00115,0.18143276820508722,,,,,,71.025,,,-0.1718294202700486,,1.0,72.75,77.875,1010.1500000000001,15106.09,,1.0,,15676.74,,,,4.95375,6.157500000000001,0.006,,-0.3531773946659015,63.5,-0.118946852516332,-1.4265388862578656,0.0,71.5,,,,,-1.0679506189772794,9237.525,1016.1,14063.685,-1.6818771482777817,,,,,14420.72,1.1067405145344478,,,-0.3137528306895915,0.0035,,,,,,,,,82.34375,,,6.44,7799.9575
,,2018-11-26,day,5,2018,11,26,Fall,0,,,1012.3,-0.29429291418929165,,-0.12781885893681832,,,,,,,,,,,,,,,,,,,,-2.3243581464626737,,,0.0051,,,62.86333333333334,,,0.0,,,,37.0,1017.8666666666667,,,,,,,,,13.78,,,,-1.0413262718160214,74.5,0.4663776149828711,0.7168137289733946,-0.06454977073417204,42.333333333333336,,,,,0.4685833914707184,,,13756.079999999998,-1.0731405621607149,,,,,,-0.2932140761470548,,,0.1662273694200793,,,,,,,,,,70.16,,,2.43,
,,2019-06-27,day,1,2019,6,27,Summer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.5,,,,,,,,,,,,,,0.1081387281265478,,,,,,,,,,,,,,,,,,20524.09,,,,,56.28,,,,0.31590781968059434,,,,,,,,,0.7718970224200751,,,,,,
,,2020-01-27,day,2,2020,1,27,Winter,0,,,,-1.0205954098814032,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2749208772784923,,,,,,,,,13316.505000000001,,,,,,,,,,0.286222419447497,,,,,,,,,,,,,8.49,
,,2020-04-04,day,4,2020,4,4,Spring,1,,6.085,1014.25,,-0.5396189863467916,1.3348821562630449,,-0.15553253560362093,68.57,,,,,0.0016,,27.0,,,0.0029,-0.4208110130843614,,-0.18185226054496467,,3.175,0.011649999999999999,1.169955789587782,,,,,,57.730000000000004,,,-0.23548724474263938,0.29861110880338904,1.0,96.0,94.0,1013.7,9967.99,,,,11643.15,1018.25,,,5.0625,4.785,0.00145,3.115,-0.7823455115982278,82.0,0.8654624791868732,-0.4405040978253392,,73.0,69.95000000000002,1008.5,69.36000000000001,6.085,-0.5058828169773812,5734.0,,12039.072499999998,-0.6741367494116991,,,,,11564.31,-0.46890670135429047,,,,0.0019249999999999998,,81.5,0.8827302708453899,,,,,,66.76499999999999,,-0.7760842239643083,,5578.4925
,,2018-09-12,day,2,2018,9,12,Fall,0,,,1014.4,,-0.34759553386324094,,,-0.004809915420155655,,,,,,,,,,,,,,,,,,1.169955789587782,,,,,,,,1013.8,0.0,-0.3654964687556322,,,94.0,,,,,,,,,0.0,6.24,,,,,,,,,,,,,6.72,,,,12716.585,-0.6434441484310109,,,,57.71,,,,0.444947338966741,,,,,1.2269590465053504,,,,0.2444348021113883,,75.74,,0.33600992637779725,,
,,2018-10-14,day,1,2018,10,14,Fall,1,,,,,-1.3938965505452652,,,-0.2936949374384641,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1220747216709641,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,,,,10452.51,,,,,,,,,,,,,,1.4917504123976277,,,,,,,,-0.376452695868612,,
,,2019-08-29,day,2,2019,8,29,Summer,0,1.0,,,0.8494486126317687,-1.0461375421104884,-0.21385307745839088,,-0.24345406404397565,,,,,,0.0013045454545454545,,14.5,,,,-1.0518053516057906,6.99,1.7461750789964963,69.825,2.605,0.00115,,,,0.0024,,,73.61500000000001,,1015.7249999999999,,-0.31505791856126525,,,,1010.7,19316.19,65.185,1.0,,23468.2,,,-0.1548789217104529,,,,4.95,,,,-1.2737729331204426,-0.21112404286155248,61.5,105.56,1007.5,105.56,4.41,-0.8741341355290386,12019.21,,13216.165,,1019.8499999999999,,,65.185,13365.93,,,1.1194720988715987,0.07623108189951601,,,,-0.7324970610975017,,,,-0.7974218807956354,1015.7249999999999,,,1.4883002508286536,6.99,6982.3150000000005
,,2019-06-20,day,3,2019,6,20,Summer,0,1.0,,,,,,,,,,,,,0.0013045454545454545,,14.75,,,,-1.039185464835362,,0.723416403232997,,,,,,,,,,,,,,,,,,,18333.585,,1.0,,21313.455,,,,,,,4.655,,,,,,,86.67,1008.325,86.67,,,10711.2,,16819.703333333335,,,,,,17585.665,,,,,,,,,,,,,,,,,,9039.76875
,,2019-03-06,day,2,2019,3,6,Spring,0,,,1020.0,,,-0.18435335872083972,,,54.665,54.0,,,,,,,,,,,,,,5.885,0.00135,-0.025467399061058174,,,,,,61.465,1.0,,-0.2385185697175246,,,74.5,74.5,1015.5,12295.08,,,,15217.72,,,,8.495,8.495,0.0018499999999999999,,0.6531478450374856,54.0,-0.6244543471747347,0.059457203351710244,,56.0,,,,,1.2449260835050606,7917.4,1022.9,13824.560000000001,0.5024129548481914,,,,,13872.04,-1.584233652789095,,,,0.0018499999999999999,,,,,,,,,54.665,,,,6734.030000000001
