date,timestamp,period,period_type,count,year,month,day,season,is_weekend,houston_iqr_anomaly_mean,dallas_wind_speed_imputed_mean,houston_pressure_original_mean,dallas_wind_speed_mean,nyc_temperature_mean,la_precipitation_mean,philadelphia_wind_speed_iqr_anomaly_mean,dallas_precipitation_mean,houston_temperature_imputed_mean,philadelphia_humidity_imputed_mean,houston_zscore_anomaly_mean,la_precipitation_iqr_anomaly_mean,phoenix_humidity_iqr_anomaly_mean,phoenix_precipitation_original_mean,philadelphia_precipitation_iqr_anomaly_mean,phoenix_humidity_imputed_mean,dallas_precipitation_zscore_anomaly_mean,nyc_wind_speed_zscore_anomaly_mean,dallas_precipitation_imputed_mean,phoenix_humidity_mean,nyc_wind_speed_imputed_mean,phoenix_temperature_mean,la_wind_speed_imputed_mean,nyc_temperature_imputed_mean,la_precipitation_imputed_mean,houston_humidity_mean,houston_pressure_iqr_anomaly_mean,houston_humidity_iqr_anomaly_mean,nyc_precipitation_original_mean,dallas_zscore_anomaly_mean,seattle_pressure_zscore_anomaly_mean,la_temperature_original_mean,la_wind_speed_zscore_anomaly_mean,seattle_pressure_original_mean,houston_precipitation_mean,dallas_pressure_mean,houston_precipitation_iqr_anomaly_mean,houston_humidity_imputed_mean,houston_humidity_original_mean,la_pressure_original_mean,houston_original_mean,seattle_temperature_imputed_mean,san antonio_iqr_anomaly_mean,seattle_pressure_iqr_anomaly_mean,dallas_original_mean,dallas_pressure_imputed_mean,seattle_precipitation_zscore_anomaly_mean,seattle_precipitation_mean,houston_wind_speed_original_mean,houston_wind_speed_imputed_mean,houston_precipitation_imputed_mean,phoenix_wind_speed_imputed_mean,philadelphia_pressure_mean,philadelphia_humidity_mean,philadelphia_humidity_original_mean,la_pressure_mean,la_humidity_original_mean,nyc_precipitation_mean,phoenix_temperature_original_mean,phoenix_pressure_original_mean,phoenix_temperature_imputed_mean,dallas_wind_speed_original_mean,la_wind_speed_mean,san antonio_original_mean,philadelphia_pressure_imputed_mean,dallas_mean,houston_pressure_mean,nyc_pressure_imputed_mean,seattle_humidity_zscore_anomaly_mean,la_precipitation_zscore_anomaly_mean,seattle_temperature_original_mean,dallas_imputed_mean,philadelphia_temperature_mean,seattle_temperature_iqr_anomaly_mean,seattle_temperature_mean,nyc_humidity_mean,houston_precipitation_original_mean,nyc_wind_speed_iqr_anomaly_mean,dallas_humidity_imputed_mean,dallas_humidity_mean,philadelphia_pressure_iqr_anomaly_mean,la_pressure_zscore_anomaly_mean,philadelphia_wind_speed_zscore_anomaly_mean,seattle_pressure_imputed_mean,seattle_wind_speed_mean,houston_temperature_original_mean,dallas_wind_speed_zscore_anomaly_mean,dallas_temperature_mean,nyc_wind_speed_original_mean,san antonio_imputed_mean
,,2019-W03,week,28,2019,1,19,Winter,1,,5.220000000000001,1022.8799999999999,-0.901993953107088,-1.2841204396320132,4.147188675909589,,-0.07647455064706606,50.55,73.75,,1.0,,,1.0,,,,0.0058,0.9168969845810683,8.45,-0.7950201802390693,6.075625,34.18333333333334,0.03644,0.6427435115170115,,,0.0018278048780487807,,,58.16776041666666,1.0,1011.8833333333333,-0.11681263482463296,0.9767293947497313,,84.0,85.4,1020.0614583333332,10747.482857142857,47.235,,,14002.908571428574,1014.75,,-0.07773052110785543,4.909,2.495,0.0025546875000000005,,-0.24588536543282577,-0.03380874815281154,65.1,1.3264308942396514,84.64583333333333,-0.1428168831721913,58.625,1019.975,,4.886666666666667,1.1973468287141211,6406.38,1009.5625,13865.447857142859,1.0917108936774875,1020.9333333333334,,1.0,49.711666666666666,13676.777142857143,-1.7108775896236903,,-0.2768016739169629,-0.227506388482385,0.004138671875,,82.5,0.7944664822146308,1.0,,,1011.15,-0.610909338929726,56.644000000000005,,-1.2203781677363945,8.629999999999999,6230.88
,,2018-W24,week,29,2018,6,16,Summer,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17503.615,,1.0,,21868.48,,,,,,,,,,,,,,,,,,,10842.316666666666,,17402.81232758621,,,,,,19573.102916666667,,,,,,,,,,,,,,,,,,9658.879583333333
,,2020-W14,week,24,2020,3,30,Spring,0,,6.085,1014.375,-0.8589524758312477,-0.22693858906265044,0.09589396928589626,1.0,-0.1420103341709677,70.56,64.0,,,,0.0017125,,25.0,,,0.0029,-0.5301833650947425,,-0.2117661921680107,3.7624999999999997,,0.006375,0.06648823083500642,,,0.00055,,,62.84100000000001,,1011.3934375000001,-0.21021714689194823,0.4398390493475821,1.0,79.5,76.0,1013.3,10565.885,46.012226562500004,,,10382.496666666666,1018.25,,0.4180446261503336,7.263333333333333,7.005,0.001375,3.8141666666666665,-1.1227202250273158,-0.09234119490273185,64.0,-0.551606609198026,65.7,-0.1782173440255869,69.39750000000001,1010.4208333333332,69.61166666666666,5.029,0.41280731456728026,5278.268333333333,1010.9000000000001,10190.081666666667,-0.6485595819277884,,,,45.197781250000006,10637.885,-0.37030654762113596,,-0.6841230755109592,-0.7937330307992623,0.00151,,81.5,0.6603055234958769,,,1.0,1013.291796875,1.2600445966626794,70.21666666666667,,-0.683341746890205,8.88,5454.537499999999
,,2018-W21,week,24,2018,5,27,Spring,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14742.827916666669,,,,,,,,,,,,,,,,,,,,,,,,
,,2018-W14,week,27,2018,4,3,Spring,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10936.961851851853,,,,,,,,,,,,,,,,,,,,,,,,
,,2018-W31,week,28,2018,8,1,Summer,0,1.0,11.295,1017.6749999999998,0.15715902693013462,1.3662919771833444,-0.042770615491678175,,-0.09105609476797011,82.1425,79.08333333333333,,,,0.0013045454545454545,,51.5,,,0.0018537037037037044,0.172323665125782,7.13625,1.1946849036895764,5.43,77.83,0.00115,-0.1634008439051551,,,0.0014695121951219519,,,74.31,,1017.3000000000001,-0.1400244969828878,-0.459368214950677,,74.875,72.25,1012.7800000000001,17524.989999999998,,1.0,,19669.305,1012.15,,0.0,6.6825,5.953749999999999,0.0025546875000000005,3.0300000000000002,0.13148659945595262,0.8597612668411018,81.89285714285714,-0.6960398739825118,63.3,-0.23939174591621273,95.37416666666665,1010.0500000000002,88.82499999999999,8.389166666666666,0.09688644654664769,10371.885,1018.2416666666668,16049.914285714285,0.02667763964745155,1017.45,,,69.94666666666667,17078.371666666666,0.9913811278721454,,1.5491526426950495,0.6612069507831773,0.0025546875000000005,,28.5,-1.098791783915152,,,,,0.30620965674213524,83.345,,1.18289671058934,7.7475,8962.169166666665
,,2019-W21,week,26,2019,5,23,Spring,0,,15.680937499999999,1016.9333333333334,1.7549762210741418,0.8420801924552586,-0.1327387926245527,,0.056446107414232685,,,,,,,,,,,0.0092625,0.2185965832840201,10.103125,-0.4670046705866677,,74.706875,,0.04605364641365876,,,0.0020499999999999997,,,59.97,,1013.7083333333334,-0.17517944634440452,-1.254475915931137,,,75.66666666666667,1012.15,12141.83,66.97,,,11365.045,1006.675,,-0.32651178235853123,11.193333333333333,,,,0.1943819269374157,-0.5712430319475345,55.0,-0.8710263293944871,69.375,-0.11087842429885454,64.68333333333334,1009.4333333333334,,13.672968749999999,0.5294202321086386,6202.9,,15050.991538461538,-0.1250802207570866,1011.91875,,,62.403333333333336,14138.575,0.9546225436475473,,0.8684616586751197,-1.1584054875232115,0.0012499999999999998,,76.125,0.4491344091967857,,,,1011.3499999999999,-0.3281705811966911,83.65333333333334,1.0,0.82054859036263,8.55078125,7699.674999999999
,,2020-W08,week,25,2020,2,21,Winter,0,,10.355,1024.025,0.23527880418722227,-0.9977166347285764,-0.10692653872919544,,-0.3188153741357083,57.2475,65.5,,,1.0,0.0010166666666666666,,44.0,1.0,,0.0003,0.09408036714912474,,-0.48191200544074686,2.795,,0.00115,0.25806245978514103,1.0,,0.0008333333333333334,,,60.835,,1024.2875,-0.17132419944090105,0.7861837606821642,1.0,70.25,79.125,1017.5,11725.723333333333,43.623749999999994,,,14013.646666666667,1020.6,,-0.4571453293719672,9.780000000000001,9.155000000000001,0.003875,5.83,1.2537365603996917,-0.8239967792767356,50.25,0.6149697602150969,62.75,-0.12935925331646014,64.40799999999999,1016.72,56.69,8.6475,-1.0243419102014253,7009.163333333333,1030.45,13224.946000000002,1.325997747830116,,,,43.434583333333336,14140.776666666667,-1.0393723688925696,,-0.8432295171704011,-1.383708693434066,0.0035125,,61.0,0.035397899990102455,,,,1021.6125,-0.357474037880507,55.916250000000005,,-0.9447333892466758,8.021666666666667,6718.196666666667
,,2019-W40,week,25,2019,10,6,Fall,1,1.0,10.7,1015.1285714285714,0.28366266623032155,0.27602465651150987,-0.04424560142855573,,-0.12559395109691082,,66.0,,,,,,,,,0.0018537037037037044,0.48782083438649654,,0.4776078067286936,,,,0.1628227002499313,,,0.0015800000000000002,,,69.814,,1025.05,-0.11781967808690383,-0.3991221688852006,,,77.57142857142857,1014.4,18048.965,,,,21533.145,1015.5999999999999,,-0.4668300877961979,5.6085714285714285,,,,0.24723514330839177,0.35615417629795626,72.42857142857143,-0.246074702923161,52.6,-0.14752199233069963,82.13,1007.0,,8.8075,0.35401631458798055,10583.41,1022.6,15323.229600000002,-0.4943658008104958,,,,61.565,15456.82,0.5600303946243103,,0.7928126164828917,0.3537196350879194,0.00265,,76.0,-0.1764351927237194,,,,,-0.9791825107668723,83.10571428571428,,0.9711386049584573,9.62375,7900.945
,,2019-W16,week,29,2019,4,18,Spring,0,,,1015.9375000000001,0.8627570150586674,0.23556768450096144,-0.07374266904759288,1.0,-0.14213738683849875,64.11,77.5,,,,0.0013045454545454545,1.0,41.0,,,,-0.016974636430646783,,0.06801705065929901,,,,-0.37030101117130054,,,0.00125,,,65.66333333333334,,1013.9200000000001,-0.13290024724574606,-0.37810610630421443,,64.0,68.875,1016.9333333333334,9455.633333333333,50.705,,,9565.25,,,0.0530885223467105,9.00875,9.68,0.0012,2.02,-0.005403230944876535,-0.19211241095373247,62.125,0.4575745357704777,66.0,-0.24606040456606712,74.565,1013.0333333333333,70.2,10.7225,-0.08271682811538876,4961.29,1018.7,10605.653879310346,-0.32884498837890513,,,,50.05,9481.810833333335,-0.40969074500463387,,-0.2462713447618489,1.216184057159984,0.0011749999999999998,,,-0.6927783562136601,,,,1014.2,-0.0040901899800021456,66.51625,,0.12163033113112615,12.06,4944.264166666667
