kmeans_cluster,houston,dallas,san antonio,hour,day_of_week,is_weekend,houston_temperature,houston_humidity,houston_wind_speed,dallas_temperature,dallas_humidity,dallas_wind_speed,phoenix_temperature,phoenix_humidity,phoenix_wind_speed,seattle_temperature,seattle_humidity,seattle_wind_speed,la_temperature,la_humidity,la_wind_speed,nyc_temperature,nyc_humidity,nyc_wind_speed,philadelphia_temperature,philadelphia_humidity,philadelphia_wind_speed,houston_wind_speed_original,philadelphia_temperature_imputed,houston_humidity_imputed,la_temperature_imputed,phoenix_temperature_original,seattle_wind_speed_zscore_anomaly,philadelphia_wind_speed_imputed,nyc_wind_speed_original,la_humidity_imputed,la_temperature_original,philadelphia_wind_speed_zscore_anomaly,philadelphia_wind_speed_original,houston_wind_speed_imputed,nyc_humidity_imputed,philadelphia_temperature_original,phoenix_humidity_imputed,seattle_temperature_imputed,dallas_wind_speed_zscore_anomaly,phoenix_humidity_iqr_anomaly,la_wind_speed_iqr_anomaly,phoenix_wind_speed_imputed,seattle_humidity_imputed,phoenix_temperature_imputed,seattle_wind_speed_imputed,seattle_humidity_zscore_anomaly
0,10633.384019819467,11716.130506279434,5809.562969976452,9.780219780219781,3.1664050235478807,0.31868131868131866,-0.36046538306024767,0.19207790952708304,0.023775070489014262,-0.4327104383846571,-0.0759125445609104,-0.06460034076740434,-0.42515191546679243,0.09945884270128358,0.1316448891988892,-0.46641418933642137,0.16516598180716258,0.04025028083691001,-0.49706942369101076,0.1847104206865538,-0.2300352279576812,-0.6657378512923149,-0.3992898427023791,0.21679517318197425,-0.3590802387547668,0.2501358871446742,-0.5492802516958968,6.884825000000001,49.81285714285714,79.970703125,61.58647727272727,65.4563392857143,1.0,4.695714285714286,8.95339527027027,63.09943181818182,61.061331967213114,,4.383617021276596,6.81765625,57.03846153846154,50.04595744680851,31.875,46.093675595238096,,1.0,,5.089499999999999,80.27380952380952,69.41324999999999,6.121361607142857,1.0
1,14184.487449324324,15488.20052364865,7840.27798141892,10.45945945945946,2.6486486486486487,0.1891891891891892,0.8342591501254656,0.26317110589047804,-0.6451868037089197,0.7183907101984189,0.2861222245693525,-0.4717179768279327,1.0161600938110154,-0.3192209245824113,0.012369844579660467,0.9107529323619081,-0.6477073288009045,0.06671329725062343,0.06478131864970296,0.8798411280483496,-0.22678708081191434,1.04593848469802,0.7568786798590914,-0.5846925993446543,1.2517777095087839,-0.2286951901724325,-0.9402056199837462,4.8168750000000005,74.17250000000001,79.05,69.17,92.076875,,3.5825000000000005,6.366520270270271,73.0,66.788,,3.2862500000000003,4.16225,77.45833333333333,78.88125000000001,25.6875,,,,,3.0666666666666664,,97.93479166666667,,
2,10628.366643518517,12428.701064814815,6081.712268518519,8.296296296296296,3.259259259259259,0.37037037037037035,-0.7382780930046885,0.0848793568142194,0.44000201963363894,-0.9498307301662638,-0.00432080489373915,0.9466727757896681,0.07965776613252036,-0.5028402770921473,-0.37849062347611745,0.2006859062620635,-0.8351675000426657,-1.2179660834741832,-0.7786159652663865,-0.22869247631067183,0.3522935014017739,-0.7326384122682374,-0.5337437557398572,1.3146018700479087,-0.9315662754045844,-0.5766011157724955,1.385604726528843,8.1715,38.03539772727273,74.625,56.4725,74.78,,9.207812500000001,12.496666666666664,54.75,58.19166666666666,1.0,9.815034722222222,7.989375,,39.798125,19.25,55.003125,,,1.0,3.6225,63.125,84.03999999999999,2.4925,
3,14948.613536392406,17399.43578454641,8725.663962948312,14.527426160337553,2.810126582278481,0.21518987341772153,0.8397984420356502,0.5114193775716941,-0.6420782636040473,0.8798580862208669,0.041741859797938284,-0.03782596398418193,0.9138503869454991,-0.2727977696769062,0.13592084141475622,0.9268545021728122,-0.18707346423586924,-0.3223116898265546,0.1777662710120789,0.6918071572638418,-0.4986470015953135,0.21343838646521,-0.03176446312515989,0.48389984562101845,1.0333188533458244,0.32801433827880994,-0.3075142423492377,4.826484375,75.82950520833333,80.93181818181819,66.76,90.18725,,4.4699479166666665,9.8155,77.8,67.9396,,5.0622786458333335,5.078863636363637,56.0,74.97070963541667,23.2625,64.28649038461539,,,,3.5877500000000007,72.17788461538461,92.025375,4.596298076923077,
4,11693.799666666666,12728.541,6537.70675,7.2,2.933333333333333,0.26666666666666666,0.46260201908862947,0.08487935681421943,-0.818537196288923,0.6151777649860879,-0.5282294359806021,0.9704327080429757,0.5789903170710525,-0.5091502204773616,0.13909177227146652,0.5096926921749999,-0.4380556108077828,0.09474957742919321,1.198473534152174,-1.0163347741447133,0.637042218334481,0.9334097728262375,-0.9377270908321635,0.7907850405715381,0.8102976160727003,0.6472960867553521,-0.516547914564929,4.281000000000001,66.17416666666666,77.83333333333333,76.26611111111112,84.0025,,4.4425,10.806000000000001,44.166666666666664,78.34316666666668,,4.4755,2.891666666666667,54.0,70.97850000000001,34.25,55.2425,1.0,,1.0,3.5949999999999998,92.375,85.3325,9.635,
5,10907.57715909091,11701.981477272728,5964.272159090909,7.181818181818182,2.727272727272727,0.22727272727272727,-0.054695597480903954,-1.1742161392020471,1.5624694300609108,0.7041835790840363,-0.6442332724667427,1.2964477784762405,-0.20981318176469627,-0.8570985271477495,0.2157706457155529,-0.37973813776476245,0.3233188385892457,0.7750897132243086,-0.7179504892237195,0.029687536735415847,-0.34275394340844495,0.2894116984382178,-0.6737379807718445,0.09955750908783337,-0.3658374188400298,-0.3317921134251331,0.126286081170413,11.641363636363637,49.925,55.34375,66.95,69.43357142857143,,6.279999999999999,8.575,54.0,58.81,,6.279999999999999,9.79125,,49.925,14.5,45.216875,,,,4.26,77.0625,74.245,6.2034375,
6,10564.76175,11680.734375,5611.849,7.0,3.7,0.5,-0.4970282115987399,0.4707098539197905,-0.10141973951027398,-0.6799629380520781,0.7150290724469476,-0.1732120310829035,-1.0828301024566354,1.2866596669546257,-0.29172242457886155,-0.8955672242934534,0.5634839333654894,1.3716279027935787,-1.0680238073445967,0.13439395331256027,0.011566815395369967,-0.8880562986512337,0.076231081899516,-0.2799824846672262,-0.8794380779812133,0.15043543082136943,-0.6071217817944722,6.4978125,40.73125,82.59375,55.241875,53.30925,1.0,4.2212499999999995,7.35,59.09375,55.241875,,4.2212499999999995,6.4978125,66.5,40.73125,60.825,42.85458333333333,,1.0,,3.2612500000000004,83.08333333333333,53.30925,7.942083333333334,
